#number,Node1,Node2,Length,Width
0,16,17,45.0,3
1,16,18,57.0,3
2,16,19,207.0,3
3,17,24,121.0,3
4,17,328,34.0,3
5,18,177,8.0,3
6,19,133,23.0,3
7,19,134,16.0,3
8,20,21,8.0,3
9,20,22,13.0,3
10,20,248,72.0,3
11,21,398,88.0,3
12,21,399,17.0,3
13,22,119,297.0,3
14,22,120,44.0,3
15,22,121,339.0,3
16,23,24,81.0,3
17,23,25,94.0,3
18,23,26,51.0,3
19,23,27,40.0,3
20,24,223,56.0,3
21,24,134,62.0,3
22,25,34,145.0,3
23,25,413,95.0,3
24,26,28,44.0,3
25,26,29,31.0,3
26,27,329,7.0,3
27,28,36,56.0,3
28,28,239,74.0,3
29,29,230,99.0,3
30,29,233,36.0,3
31,30,31,6.0,3
32,30,32,109.0,3
33,30,33,77.0,3
34,31,36,42.0,3
35,31,75,42.0,3
36,32,274,54.0,3
37,33,34,73.0,3
38,33,36,131.0,3
39,34,35,166.0,3
40,35,270,128.0,3
41,37,38,65.0,3
42,37,39,67.0,3
43,37,40,128.0,3
44,38,395,62.0,3
45,38,396,202.0,3
46,39,41,127.0,3
47,39,530,43.0,3
48,40,220,31.0,3
49,40,507,93.0,3
50,41,42,17.0,3
51,41,43,72.0,3
52,41,44,41.0,3
53,42,45,6.0,3
54,42,46,45.0,3
55,43,77,44.0,3
56,43,46,56.0,3
57,43,78,84.0,3
58,44,382,33.0,3
59,44,505,46.0,3
60,45,64,72.0,3
61,45,532,87.0,3
62,46,265,64.0,3
63,47,48,83.0,3
64,47,49,139.0,3
65,47,50,22.0,3
66,47,51,41.0,3
67,48,164,129.0,3
68,49,90,14.0,3
69,49,163,39.0,3
70,49,164,84.0,3
71,50,183,27.0,3
72,50,546,35.0,3
73,51,197,38.0,3
74,51,445,23.0,3
75,52,53,9.0,3
76,52,54,11.0,3
77,52,55,78.0,3
78,53,56,23.0,3
79,53,57,20.0,3
80,54,452,79.0,3
81,54,240,91.0,3
82,55,453,27.0,3
83,55,452,56.0,3
84,56,211,6.0,3
85,56,453,86.0,3
86,57,97,216.0,3
87,57,204,48.0,3
88,58,59,7.0,3
89,58,60,168.0,3
90,58,61,326.0,3
91,59,452,12.0,3
92,59,517,200.0,3
93,59,456,168.0,3
94,60,462,78.0,3
95,60,456,8.0,3
96,61,122,89.0,3
97,61,123,7.0,3
98,62,63,50.0,3
99,62,64,81.0,3
100,62,65,141.0,3
101,63,534,28.0,3
102,63,156,61.0,3
103,64,498,69.0,3
104,65,273,92.0,3
105,65,291,45.0,3
106,66,67,142.0,3
107,66,68,204.0,3
108,66,68,29.0,3
109,67,124,79.0,3
110,67,125,52.0,3
111,68,69,28.0,3
112,69,70,25.0,3
113,69,71,71.0,3
114,70,304,109.0,3
115,70,67,114.0,3
116,71,117,116.0,3
117,71,304,35.0,3
118,72,73,58.0,3
119,72,74,35.0,3
120,72,75,128.0,3
121,72,76,49.0,3
122,73,77,45.0,3
123,73,324,50.0,3
124,74,529,28.0,3
125,74,268,57.0,3
126,75,274,107.0,3
127,76,249,59.0,3
128,76,322,32.0,3
129,77,265,58.0,3
130,78,238,92.0,3
131,78,256,49.0,3
132,79,80,200.0,3
133,79,81,38.0,3
134,79,82,187.0,3
135,79,83,358.0,3
136,80,130,28.0,3
137,80,519,32.0,3
138,81,91,64.0,3
139,81,527,74.0,3
140,82,84,23.0,3
141,83,168,98.0,3
142,83,169,104.0,3
143,83,161,155.0,3
144,82,86,23.0,3
145,82,161,348.0,3
146,84,525,13.0,3
147,85,86,9.0,3
148,85,87,553.0,3
149,86,424,554.0,3
150,87,424,7.0,3
151,87,88,36.0,3
152,88,89,162.0,3
153,88,90,14.0,3
154,89,451,6.0,3
155,89,463,76.0,3
156,90,451,163.0,3
157,90,424,40.0,3
158,91,92,168.0,3
159,91,93,42.0,3
160,91,94,158.0,3
161,92,176,69.0,3
162,92,199,131.0,3
163,92,178,207.0,3
164,93,166,107.0,3
165,93,167,158.0,3
166,94,178,120.0,3
167,94,169,202.0,3
168,95,96,79.0,3
169,95,97,21.0,3
170,95,98,252.0,3
171,96,99,236.0,3
172,96,100,197.0,3
173,97,503,110.0,3
174,99,101,200.0,3
175,99,102,85.0,3
176,100,135,18.0,3
177,100,136,81.0,3
178,101,240,317.0,3
179,101,123,154.0,3
180,101,103,165.0,3
181,102,103,57.0,3
182,102,104,131.0,3
183,103,528,13.0,3
184,104,138,37.0,3
185,104,106,70.0,3
186,105,106,39.0,3
187,105,107,62.0,3
188,105,108,110.0,3
189,106,404,26.0,3
190,107,280,81.0,3
191,107,277,79.0,3
192,108,409,16.0,3
193,108,109,49.0,3
194,109,110,23.0,3
195,109,111,10.0,3
196,110,278,19.0,3
197,110,319,27.0,3
198,111,292,18.0,3
199,111,115,44.0,3
200,112,113,48.0,3
201,112,114,38.0,3
202,112,115,19.0,3
203,113,321,27.0,3
204,113,402,25.0,3
205,114,297,17.0,3
206,114,141,72.0,3
207,115,297,36.0,3
208,116,117,22.0,3
209,116,118,20.0,3
210,116,336,34.0,3
211,117,336,40.0,3
212,118,140,15.0,3
213,118,333,60.0,3
214,119,122,162.0,3
215,119,390,7.0,3
216,120,390,308.0,3
217,121,124,32.0,3
218,121,243,24.0,3
219,122,126,6.0,3
220,123,126,88.0,3
221,123,517,128.0,3
222,67,124,78.0,3
223,124,121,30.0,3
224,125,394,21.0,3
225,125,302,94.0,3
226,126,389,146.0,3
227,126,390,162.0,3
228,127,128,27.0,3
229,127,129,68.0,3
230,128,131,27.0,3
231,128,325,70.0,3
232,129,325,28.0,3
233,130,131,25.0,3
234,130,132,58.0,3
235,131,326,75.0,3
236,133,329,21.0,3
237,133,412,6.0,3
238,134,329,53.0,3
