#number,Node1,Node2,Length,Width
0,0,1,13,3
1,0,2,504,3
2,1,52,22,3
3,1,53,505,3
4,2,53,6,3
5,2,20,136,3
6,3,4,17,3
7,3,5,50,3
8,3,6,219,3
9,4,45,18,3
10,4,425,12,3
11,4,58,11,3
12,5,22,209,3
13,5,178,6,3
14,6,54,46,3
15,6,55,4,3
16,7,8,13,3
17,7,9,44,3
18,7,10,34,3
19,8,298,65,3
20,8,149,50,3
21,9,11,31,3
22,9,12,68,3
23,10,42,36,3
24,10,43,28,3
25,10,44,54,3
26,11,287,37,3
27,11,286,72,3
28,12,13,43,3
29,12,14,62,3
30,12,15,53,3
31,13,304,79,3
32,13,298,61,3
33,13,305,28,3
34,14,141,52,3
35,14,296,27,3
36,15,136,9,3
37,15,127,38,3
38,16,17,26,3
39,16,18,129,3
40,16,19,37,3
41,17,299,48,3
42,17,285,46,3
43,17,300,105,3
44,18,140,8,3
45,18,135,54,3
46,18,141,20,3
47,19,317,65,3
48,19,296,40,3
49,20,21,12,3
50,20,22,69,3
51,21,25,29,3
52,21,53,138,3
53,21,184,72,3
54,22,184,7,3
55,23,24,45,3
56,23,25,63,3
57,23,26,43,3
58,23,27,37,3
59,24,29,63,3
60,24,196,54,3
61,25,183,68,3
62,25,185,92,3
63,26,186,33,3
64,26,188,111,3
65,27,189,37,3
66,27,190,91,3
67,28,29,42,3
68,28,30,75,3
69,28,31,44,3
70,29,220,54,3
71,29,188,44,3
72,30,226,21,3
73,30,227,68,3
74,30,214,22,3
75,31,77,22,3
76,31,78,65,3
77,31,32,82,3
78,31,79,75,3
79,32,33,20,3
80,32,34,46,3
81,33,35,55,3
82,33,385,55,3
83,34,217,77,3
84,34,218,39,3
85,35,36,32,3
86,35,37,46,3
87,35,38,65,3
88,36,40,52,3
89,36,231,73,3
90,37,384,41,3
91,37,381,9,3
92,38,39,42,3
93,38,40,44,3
94,38,41,3,3
95,39,116,3,3
96,39,380,32,3
97,40,249,33,3
98,41,392,8,3
99,41,434,3,3
100,41,118,46,3
101,42,146,47,3
102,42,147,17,3
103,43,138,48,3
104,43,390,58,3
105,44,146,36,3
106,44,291,38,3
107,45,46,8,3
108,45,47,123,3
109,45,48,136,3
110,46,424,15,3
111,46,425,16,3
112,46,60,143,3
113,47,59,20,3
114,47,60,23,3
115,47,57,235,3
116,48,57,66,3
117,48,437,61,3
118,49,50,10,3
119,49,51,412,3
120,50,167,9,3
121,50,168,12,3
122,50,169,82,3
123,51,272,8,3
124,51,59,610,3
125,52,224,72,3
126,52,204,138,3
127,53,194,26,3
128,54,56,3,3
129,55,56,48,3
130,55,57,20,3
131,55,58,209,3
132,58,426,10,3
133,59,62,10,3
134,59,423,4,3
135,60,61,32,3
136,60,62,14,3
137,61,63,109,3
138,61,64,166,3
139,62,389,232,3
140,63,65,25,3
141,63,412,73,3
142,64,73,33,3
143,64,74,95,3
144,65,66,18,3
145,65,67,66,3
146,66,68,44,3
147,66,69,41,3
148,67,412,22,3
149,67,206,55,3
150,68,70,49,3
151,68,69,30,3
152,68,202,47,3
153,69,181,120,3
154,69,72,48,3
155,70,71,35,3
156,70,72,55,3
157,71,77,25,3
158,71,409,14,3
159,71,188,70,3
160,72,186,112,3
161,72,188,31,3
162,73,75,13,3
163,73,76,74,3
164,74,76,41,3
165,74,389,51,3
166,75,82,28,3
167,75,223,38,3
168,76,245,41,3
169,77,409,25,3
170,78,85,8,3
171,78,79,33,3
172,79,237,6,3
173,80,81,36,3
174,80,82,67,3
175,80,83,3,3
176,81,249,71,3
177,81,250,5,3
178,81,229,33,3
179,82,427,4,3
180,83,239,31,3
181,83,427,66,3
182,83,250,39,3
183,84,85,44,3
184,84,86,27,3
185,84,87,59,3
186,84,88,43,3
187,85,226,35,3
188,86,232,27,3
189,86,410,41,3
190,87,263,23,3
191,87,237,53,3
192,87,383,49,3
193,88,410,25,3
194,88,226,42,3
195,89,90,16,3
196,89,91,53,3
197,89,92,54,3
198,90,94,44,3
199,90,256,36,3
200,90,246,54,3
201,91,257,61,3
202,91,92,19,3
203,92,232,33,3
204,92,213,66,3
205,93,94,35,3
206,93,95,49,3
207,93,96,80,3
208,94,247,52,3
209,95,256,91,3
210,95,279,55,3
211,96,101,117,3
212,96,102,74,3
213,96,103,81,3
214,97,98,113,3
215,97,99,172,3
216,97,100,26,3
217,98,107,38,3
218,98,108,52,3
219,98,109,101,3
220,99,128,37,3
221,99,129,81,3
222,99,130,122,3
223,100,244,45,3
224,100,107,102,3
225,101,110,37,3
226,101,267,70,3
227,101,251,103,3
228,102,235,38,3
229,102,255,32,3
230,103,275,84,3
231,103,276,90,3
232,104,105,53,3
233,104,106,47,3
234,105,224,95,3
235,105,251,64,3
236,106,119,10,3
237,106,111,7,3
238,107,407,16,3
239,108,120,19,3
240,108,113,6,3
241,109,128,111,3
242,109,132,49,3
243,110,111,27,3
244,110,112,75,3
245,111,268,24,3
246,112,267,35,3
247,112,430,90,3
248,113,114,44,3
249,113,115,29,3
250,114,265,4,3
251,114,266,31,3
252,115,266,46,3
253,115,133,29,3
254,116,117,36,3
255,116,118,3,3
256,117,126,47,3
257,117,127,93,3
258,118,287,106,3
259,119,121,8,3
260,120,122,47,3
261,120,123,59,3
262,122,124,36,3
263,122,125,70,3
