#number,Node1,Node2,Length,Width
0,1,2,109.0,3
1,1,3,679.0,3
2,2,36,613.0,3
3,2,11,441.0,3
4,3,36,54.0,3
5,3,4,616.0,3
6,4,5,64.0,3
7,4,69,105.0,3
8,5,8,27.0,3
9,5,9,21.0,3
10,6,7,17.0,3
11,7,8,29.0,3
12,7,68,38.0,3
13,8,9,11.0,3
14,9,68,25.0,3
15,9,69,32.0,3
16,10,11,513.0,3
17,10,12,380.0,3
18,10,13,96.0,3
19,11,43,53.0,3
20,12,32,28.0,3
21,12,38,66.0,3
22,13,18,227.0,3
23,13,19,192.0,3
24,14,15,263.0,3
25,14,16,93.0,3
26,14,17,343.0,3
27,15,60,288.0,3
28,15,22,180.0,3
29,15,45,245.0,3
30,16,80,76.0,3
31,16,20,81.0,3
32,17,19,13.0,3
33,17,30,160.0,3
34,13,81,89.0,3
35,13,62,334.0,3
36,13,19,196.0,3
37,18,38,176.0,3
38,18,56,202.0,3
39,19,45,372.0,3
40,20,21,211.0,3
41,20,22,109.0,3
42,21,74,146.0,3
43,21,76,195.0,3
44,22,67,169.0,3
45,23,24,72.0,3
46,23,25,243.0,3
47,23,26,20.0,3
48,24,27,86.0,3
49,24,37,658.0,3
50,25,29,63.0,3
51,25,33,77.0,3
52,26,31,166.0,3
53,26,32,352.0,3
54,27,28,138.0,3
55,27,29,295.0,3
56,28,68,40.0,3
57,28,69,36.0,3
58,30,62,34.0,3
59,30,63,225.0,3
60,31,34,29.0,3
61,31,35,198.0,3
62,32,37,164.0,3
63,34,70,26.0,3
64,34,47,66.0,3
65,36,37,359.0,3
66,38,46,155.0,3
67,39,40,18.0,3
68,39,41,60.0,3
69,39,42,69.0,3
70,40,49,84.0,3
71,40,57,112.0,3
72,41,56,52.0,3
73,41,46,101.0,3
74,42,60,11.0,3
75,42,72,88.0,3
76,43,44,335.0,3
77,43,44,130.0,3
78,44,61,163.0,3
79,45,58,40.0,3
80,46,49,15.0,3
81,47,48,7.0,3
82,47,49,94.0,3
83,48,50,52.0,3
84,48,70,73.0,3
85,50,51,63.0,3
86,50,52,66.0,3
87,51,53,19.0,3
88,51,52,129.0,3
89,52,70,28.0,3
90,53,54,65.0,3
91,53,55,73.0,3
92,54,57,132.0,3
93,54,71,73.0,3
94,56,58,68.0,3
95,57,59,165.0,3
96,58,60,75.0,3
97,61,64,79.0,3
98,61,62,45.0,3
99,63,65,6.0,3
100,63,66,56.0,3
101,64,66,98.0,3
102,64,73,104.0,3
103,66,84,125.0,3
104,74,75,143.0,3
105,75,76,179.0,3
106,76,77,24.0,3
107,77,78,246.0,3
108,77,79,105.0,3
109,78,82,38.0,3
110,82,83,267.0,3
