#number,Coord_x,Coord_y,evacuation,reward
0,360762.57617553987,3704163.931207579,0,1
1,360667.78715542296,3704193.114405141,0,1
2,360097.8688187301,3704028.5986145856,0,1
3,359503.2339755121,3703866.205408443,0,1
4,359446.3507843651,3703835.2918442427,0,1
5,359382.7192390986,3703797.4010180235,0,1
6,359397.83370029926,3703806.9628785364,0,1
7,359422.87062624074,3703821.914528903,0,1
8,359425.5557561285,3703832.6777854576,0,1
9,359942.01146127493,3704406.999731248,0,1
10,360430.98156986607,3704558.6682803673,0,1
11,359604.5855023365,3704232.576440866,0,1
12,359901.5291714673,3704494.53837723,0,1
13,359781.7517277646,3704998.376592549,0,1
14,359600.8667435198,3704806.9301450048,0,1
15,359691.542099677,3705020.8822321584,0,1
16,359890.4924149109,3704699.1557317884,0,1
17,359906.00373804936,3704494.795054842,0,1
18,359708.364071321,3704384.0083540133,0,1
19,359891.3994353555,3704685.4455414526,0,1
20,359620.61219921533,3705060.83121523,0,1
21,359468.1561584325,3705201.185495541,0,1
22,359564.1461937779,3704968.679270511,0,1
23,359250.22975216905,3704060.097036782,0,1
24,359241.9541714578,3703988.5161392814,0,1
25,359021.5463324009,3704112.976648821,0,1
26,359270.13204005733,3704063.9880567896,0,1
27,359234.02194990113,3703902.878290375,0,1
28,359362.5726158761,3703850.785782635,0,1
29,358985.10541004944,3704061.8482614267,0,1
30,360048.4917678677,3704684.9849948687,0,1
31,359369.6935854979,3704194.0841055554,0,1
32,359581.62655457616,3704215.331638178,0,1
33,358946.16478547006,3704120.843282036,0,1
34,359377.79839116306,3704222.114285998,0,1
35,359196.3624035304,3704273.5031402875,0,1
36,360068.65782166645,3704073.7729462544,0,1
37,359734.9186771785,3704162.6178736095,0,1
38,359563.21981656086,3704283.5300748255,0,1
39,359446.48555908335,3704476.4999345886,0,1
40,359441.76203580666,3704458.5130223264,0,1
41,359497.1193292947,3704444.2317471863,0,1
42,359464.1101523873,3704543.6194416867,0,1
43,360389.13881378464,3704592.2460703673,0,1
44,360272.1515827124,3704646.586616282,0,1
45,359536.24659583165,3704590.1706616916,0,1
46,359432.14755800366,3704367.0103764012,0,1
47,359396.1129122815,3704286.129323521,0,1
48,359389.3048943125,3704289.0455465177,0,1
49,359420.31924495223,3704376.875948476,0,1
50,359338.4415550196,3704301.132486883,0,1
51,359275.5180363788,3704312.907540845,0,1
52,359325.2629783391,3704236.2108797426,0,1
53,359257.2083675423,3704320.6718525193,0,1
54,359286.72553945956,3704378.4123721477,0,1
55,359195.5476629982,3704360.377684651,0,1
56,359532.4144035799,3704483.3340494344,0,1
57,359336.04572462855,3704497.0851750593,0,1
58,359542.8794711507,3704550.3249742077,0,1
59,359201.0400282075,3704555.272767797,0,1
60,359467.2669957954,3704554.874923628,0,1
61,360128.85119849525,3704690.5852847598,0,1
62,360083.43446471525,3704685.8979303334,0,1
63,360102.39464964834,3704889.7140472312,0,1
64,360150.16363216983,3704759.193976072,0,1
65,360096.3062629476,3704892.8855288266,0,1
66,360141.1635553648,3704855.192368756,0,1
67,359406.25153777737,3704985.87334641,0,1
68,359401.222339502,3703839.2207856965,0,1
69,359399.42995827855,3703847.6314747585,0,1
70,359351.846724233,3704227.250335757,0,1
71,359216.60128287727,3704398.6330583324,0,1
72,359380.40736907633,3704572.155137804,0,1
73,360250.9874541657,3704767.892456741,0,1
74,359465.70399434684,3705344.225201874,0,1
75,359417.28338259377,3705216.1227206537,0,1
76,359330.4622399524,3705063.492923535,0,1
77,359310.5072577181,3705050.1089645107,0,1
78,359074.85964619875,3705041.369981947,0,1
79,359267.14048023714,3704955.848939563,0,1
80,359664.9114322653,3704949.7897820896,0,1
81,359942.5867380508,3704413.3352625803,0,1
82,359050.95328967366,3705071.198389372,0,1
83,358917.2972691637,3705086.9042053386,0,1
84,360136.17153484107,3704973.125550648,0,1
