,0,1
0,253212041,"{'y': np.float64(3710936.7827186654), 'x': np.float64(368559.9587042449), 'highway': 'crossing', 'street_count': np.int64(4), 'lon': np.float64(133.584491), 'lat': np.float64(33.5299506)}"
1,305548214,"{'y': np.float64(3710950.008912227), 'x': np.float64(368553.79541422974), 'highway': 'traffic_signals', 'street_count': np.int64(4), 'lon': np.float64(133.5844227), 'lat': np.float64(33.5300691)}"
2,294071744,"{'y': np.float64(3710940.9340809863), 'x': np.float64(368570.2602265647), 'highway': 'crossing', 'street_count': np.int64(4), 'lon': np.float64(133.5846013), 'lat': np.float64(33.5299893)}"
3,1924070917,"{'y': np.float64(3710933.7043219), 'x': np.float64(368552.30037512374), 'street_count': np.int64(3), 'lon': np.float64(133.584409), 'lat': np.float64(33.5299219)}"
4,262314795,"{'y': np.float64(3708368.2868078165), 'x': np.float64(367233.5976444917), 'street_count': np.int64(4), 'lon': np.float64(133.570592), 'lat': np.float64(33.5066269)}"
5,564443386,"{'y': np.float64(3708380.509870229), 'x': np.float64(367243.9579345372), 'street_count': np.int64(3), 'lon': np.float64(133.5707017), 'lat': np.float64(33.5067384)}"
6,6286517222,"{'y': np.float64(3708364.6455418104), 'x': np.float64(367237.886258836), 'street_count': np.int64(3), 'lon': np.float64(133.5706387), 'lat': np.float64(33.5065946)}"
7,6286517221,"{'y': np.float64(3708372.4240213004), 'x': np.float64(367228.73054946493), 'street_count': np.int64(3), 'lon': np.float64(133.570539), 'lat': np.float64(33.5066636)}"
8,5521726739,"{'y': np.float64(3708314.983472723), 'x': np.float64(367204.83310818975), 'street_count': np.int64(3), 'lon': np.float64(133.5702903), 'lat': np.float64(33.5061427)}"
9,262314797,"{'y': np.float64(3708451.6660473137), 'x': np.float64(367375.2393466387), 'street_count': np.int64(3), 'lon': np.float64(133.5721042), 'lat': np.float64(33.5073963)}"
10,6286519489,"{'y': np.float64(3708453.818707136), 'x': np.float64(367371.9336289367), 'street_count': np.int64(4), 'lon': np.float64(133.5720683), 'lat': np.float64(33.5074153)}"
11,1085590625,"{'y': np.float64(3708464.080999528), 'x': np.float64(367397.45684784), 'street_count': np.int64(3), 'lon': np.float64(133.5723415), 'lat': np.float64(33.507511)}"
12,411228968,"{'y': np.float64(3708411.8425181457), 'x': np.float64(367279.22029402026), 'highway': 'crossing', 'street_count': np.int64(4), 'lon': np.float64(133.5710766), 'lat': np.float64(33.5070253)}"
13,262314806,"{'y': np.float64(3709356.939797722), 'x': np.float64(368638.1796251816), 'street_count': np.int64(3), 'lon': np.float64(133.5855651), 'lat': np.float64(33.515715)}"
14,1442211085,"{'y': np.float64(3709468.913276655), 'x': np.float64(368593.8528508565), 'street_count': np.int64(4), 'lon': np.float64(133.5850715), 'lat': np.float64(33.5167192)}"
15,1556711536,"{'y': np.float64(3709426.449175514), 'x': np.float64(368847.74443673884), 'street_count': np.int64(3), 'lon': np.float64(133.5878108), 'lat': np.float64(33.5163675)}"
16,1556711468,"{'y': np.float64(3709271.7748004803), 'x': np.float64(368450.5817971175), 'street_count': np.int64(3), 'lon': np.float64(133.5835582), 'lat': np.float64(33.514924)}"
17,262314810,"{'y': np.float64(3709782.72609592), 'x': np.float64(369751.7846537745), 'street_count': np.int64(3), 'lon': np.float64(133.5974907), 'lat': np.float64(33.5196906)}"
18,1078632373,"{'y': np.float64(3709855.673498549), 'x': np.float64(369741.44745049765), 'street_count': np.int64(4), 'lon': np.float64(133.5973688), 'lat': np.float64(33.5203471)}"
19,305552408,"{'y': np.float64(3709822.8379223202), 'x': np.float64(369879.93249508436), 'highway': 'crossing', 'street_count': np.int64(4), 'lon': np.float64(133.5988644), 'lat': np.float64(33.5200679)}"
20,1442211106,"{'y': np.float64(3709637.6046163193), 'x': np.float64(369328.76298865816), 'street_count': np.int64(3), 'lon': np.float64(133.592958), 'lat': np.float64(33.5183304)}"
21,262317512,"{'y': np.float64(3709189.08032889), 'x': np.float64(367532.15909012407), 'highway': 'crossing', 'street_count': np.int64(4), 'lon': np.float64(133.5736841), 'lat': np.float64(33.5140649)}"
22,1556711485,"{'y': np.float64(3709335.641535912), 'x': np.float64(367528.7952405027), 'street_count': np.int64(3), 'lon': np.float64(133.5736262), 'lat': np.float64(33.515386)}"
23,1442211001,"{'y': np.float64(3709173.44928226), 'x': np.float64(367532.5015937856), 'street_count': np.int64(3), 'lon': np.float64(133.5736901), 'lat': np.float64(33.513924)}"
