#number,Coord_x,Coord_y,evacuation,reward
0,364963.81646596163,3706936.575153342,0,1
1,364946.0525857684,3706978.579555512,0,1
2,364990.414956172,3706885.763262843,0,1
3,364822.1282562453,3707083.05819204,0,1
4,367114.5066137896,3707190.5666884384,0,1
5,367107.3980736544,3707195.2671599537,0,1
6,367125.9651012386,3707183.2665839577,0,1
7,364866.12590627035,3707164.577584144,0,1
8,364898.79900906095,3707090.4678710387,0,1
9,364828.8825105096,3707251.3392077754,0,1
10,364890.5975823238,3707210.0826922012,0,1
11,364844.1153134843,3707130.927029115,0,1
12,364899.40811308316,3707253.3119239127,0,1
13,364920.7182040174,3707201.1764606102,0,1
14,364917.1556444174,3707356.770343987,0,1
15,364916.4546986226,3707349.8486140785,0,1
16,364937.7593637183,3707463.826461429,0,1
17,364841.7219474629,3707374.485401826,0,1
18,364771.8839995079,3707384.381415819,0,1
19,364655.22224850237,3707500.006487726,0,1
20,364907.92434622627,3707308.700452714,0,1
21,365486.2216369095,3707238.0539948824,0,1
22,365549.34128910437,3707220.7043204075,0,1
23,365425.681348401,3707268.4326449037,0,1
24,365583.04972156725,3707154.523469492,0,1
25,365308.6391068492,3707318.2106232354,0,1
26,365306.5636659513,3707335.9288997473,0,1
27,365236.0713823448,3707320.9880221123,0,1
28,365314.9137001034,3707277.154817085,0,1
29,365305.5322015833,3707341.909976706,0,1
30,365272.5164681149,3707363.720403394,0,1
31,366052.7027750866,3706901.614197132,0,1
32,366134.9821499493,3706918.7930046236,0,1
33,366087.09054952126,3706766.920449691,0,1
34,366030.67065819656,3706898.2493316857,0,1
35,366019.9722416879,3706927.4548558337,0,1
36,366549.83980864554,3706991.917707544,0,1
37,366540.9500400565,3706993.4603102067,0,1
38,366560.42305402365,3706987.8563409285,0,1
39,366560.6986400956,3706914.4341614675,0,1
40,366517.42598784884,3706990.358987973,0,1
41,366560.33832410467,3706999.1918903086,0,1
42,366624.9121197687,3706913.423803302,0,1
43,366621.93616511574,3706919.963929725,0,1
44,366463.84952967044,3706864.3375971336,0,1
45,366936.9428128365,3707011.7433585133,0,1
46,365303.340980451,3707493.6691907384,0,1
47,365302.74820873316,3707543.6843706216,0,1
48,365311.1411675075,3707413.50926585,0,1
49,365168.4287960052,3707529.7690914944,0,1
50,367454.4967337958,3707426.5253750584,0,1
51,367389.0315237319,3707311.941756949,0,1
52,367475.84677479323,3707406.7683261256,0,1
53,367487.7368842457,3707386.930624857,0,1
54,367485.63347158395,3707361.662453681,0,1
55,367538.5332295095,3707436.2167974594,0,1
56,365087.842960703,3707335.260489208,0,1
57,365145.5273872149,3707327.9988557,0,1
58,365087.60011512245,3707370.3652300853,0,1
59,364959.3678562371,3707347.439730523,1,1000
60,365078.06778576144,3707286.7766471063,1,1000
61,365191.2866349834,3707324.453247913,0,1
62,365186.01615731313,3707252.5387292313,0,1
63,365470.0512648202,3706746.3407102525,0,1
64,365275.8975202694,3706693.2439871803,0,1
65,365459.21099018515,3706783.256755427,0,1
66,365525.5315146915,3706567.4101353893,0,1
67,365815.3839257455,3706843.162101765,0,1
68,365528.895681373,3706568.0951963225,0,1
69,365503.59851231263,3706559.897226239,0,1
70,365539.034925992,3706536.845159842,0,1
71,365535.8897931073,3706545.8722615866,0,1
72,366060.3588645705,3706726.2793528917,0,1
73,366095.1123504065,3706738.9943154166,0,1
74,366247.8558783828,3706793.624215628,0,1
75,366091.051731242,3706753.0578853707,0,1
76,365440.5116930774,3706844.9698057105,0,1
77,365382.71766692854,3707002.3513749293,0,1
78,365400.15388398105,3706832.889920729,0,1
79,365590.55479403853,3706896.3332278263,0,1
80,366679.7483762814,3707163.663052189,0,1
81,366653.4415855475,3707238.1438804595,0,1
82,366681.2404852838,3707142.5485096322,0,1
83,366825.5732357376,3707249.594576043,0,1
84,366821.0716453695,3707337.4038379625,0,1
85,366469.5794066713,3707276.7543812166,0,1
86,366902.20761676366,3707165.791126016,0,1
87,366901.5756376111,3707364.3508354896,0,1
88,366929.2568568647,3707317.311538183,0,1
89,366941.99905572843,3707460.279155879,0,1
90,367052.5614979508,3707463.7556845187,0,1
91,367012.86143406713,3707461.9520499213,0,1
92,367114.81132587465,3707458.749696337,0,1
93,367140.9836264275,3707489.6083802525,0,1
94,367190.3111920366,3707492.876921562,0,1
95,367197.65030337166,3707473.90002723,0,1
96,367197.69628005143,3707500.1724649924,0,1
97,367260.97423012997,3707505.744544504,0,1
98,367308.16366055247,3707515.6973358765,0,1
99,367257.5299426637,3707544.419693641,0,1
100,367241.8445265852,3707505.187255489,0,1
101,367503.5070248744,3707553.4129038434,0,1
102,367520.16084845935,3707538.7887712605,0,1
103,367484.9562526572,3707561.841455085,0,1
104,367176.4572769716,3707090.1882194625,0,1
105,367093.0431919272,3707189.2765939403,0,1
106,367419.6816535924,3707206.960446027,0,1
107,367021.66634003003,3707039.9418895594,0,1
108,366935.68099287245,3707018.614618978,0,1
109,367393.53684688977,3707311.181100331,0,1
110,367419.27476214885,3707239.5383915454,0,1
111,367374.1330269319,3707358.271453285,0,1
112,367019.6739772492,3707045.725265342,0,1
113,365169.5051299003,3706667.7699786727,0,1
114,365196.3417786918,3706673.749645383,0,1
115,365148.1246382885,3706733.003549703,0,1
116,365247.94950427086,3706686.1927685062,0,1
117,365223.0350092674,3706680.1084649703,0,1
118,365232.71572038694,3706742.467881386,0,1
119,364831.64867698465,3707103.9855537987,0,1
120,364838.36168896034,3707081.07833468,0,1
121,366461.84957890224,3707293.5968461083,0,1
122,366406.6710363181,3707293.995238751,0,1
123,365938.47571723256,3707447.1092020883,0,1
124,366968.45295250375,3707475.1411892124,0,1
125,367456.63570023,3707565.8905811757,0,1
126,367469.77809097694,3707566.1978833787,0,1
127,367329.15291073296,3707554.1581883165,0,1
128,367432.79020465206,3707558.8766262466,0,1
129,364714.17376263335,3707639.407313234,0,1
130,364711.6441341207,3707641.2283811946,0,1
131,364792.8985932311,3707617.3529677284,0,1
132,364784.5599777191,3707505.101059443,0,1
133,365502.7848574961,3707661.367279112,0,1
134,365798.95091171016,3707684.688824473,1,1000
135,365484.9689277101,3707645.091068309,0,1
136,365539.47491797846,3707627.2403196935,0,1
137,364950.6386211825,3707666.202619861,0,1
138,365064.4300077453,3707691.9472875483,1,1000
139,364952.5310643839,3707568.480042833,0,1
140,364842.2369190614,3707620.6648149276,0,1
141,365296.5764327592,3707673.207416956,0,1
142,365295.1691593227,3707717.4558607144,0,1
143,365299.7699313096,3707603.847387981,0,1
144,365435.20079935633,3707647.5600785697,0,1
145,365207.5800745465,3707684.344033409,0,1
146,365813.16771086026,3707708.1135656564,0,1
147,365827.1445756508,3707463.9405129747,0,1
148,365854.39315699105,3706692.8765047113,0,1
149,365946.30641913164,3706722.4297809396,0,1
150,366049.637706358,3706755.20787931,0,1
151,366167.58793624694,3706793.551171187,0,1
152,366213.2577417338,3706808.8211096316,0,1
153,365337.57878052373,3706895.3931664047,0,1
154,365253.5382119634,3706773.5961682913,0,1
155,365909.6371926084,3706871.351564549,0,1
156,365787.3869212465,3706943.354468455,0,1
157,366311.026753717,3706840.0044469326,0,1
158,366317.5708845973,3706825.4296650738,0,1
159,366250.13385501376,3706825.2113554208,0,1
160,366340.8790484166,3706848.4518662044,0,1
161,366293.0844659967,3706886.3227267247,0,1
162,365230.69766208355,3706859.378386524,0,1
163,365313.76875377697,3706995.6174018574,0,1
164,364993.0170746512,3706881.8008062337,0,1
165,364998.65046175825,3706889.263457679,0,1
166,365590.1691404829,3707015.3279178394,0,1
167,365093.5130801436,3706889.7658037324,0,1
168,365080.1903925091,3706923.8113836334,0,1
169,365018.2896365905,3706858.389936248,0,1
170,365077.63303195965,3706767.5936229993,0,1
171,366003.9387845863,3706893.031178239,0,1
172,366028.4699670058,3706806.7285400606,0,1
173,365925.5071571745,3706875.9441452427,0,1
174,365084.8336475471,3707017.915560488,0,1
175,366138.3843816783,3706919.555375222,0,1
176,365849.8648481587,3706973.216659382,0,1
177,365751.96983905253,3707083.1876495047,0,1
178,366279.8538907444,3706949.422032937,0,1
179,366262.05577845004,3706945.8093982018,0,1
180,366306.0803643207,3706954.403955355,0,1
181,366267.8663337068,3707008.3341402397,0,1
182,365900.4496359468,3706987.7956668525,0,1
183,365843.94632396346,3706987.2840254377,0,1
184,365967.42469685245,3706973.567087086,0,1
185,365942.4684178184,3706995.1299774973,0,1
186,365990.94427125866,3706952.922556751,0,1
187,365987.51353517594,3706980.1972104725,0,1
188,365331.2410472386,3707122.9135923814,0,1
189,365594.95088674437,3707063.061061326,0,1
190,365938.1436985202,3706998.86103154,0,1
191,365895.57164230704,3707035.929399778,0,1
192,365911.71650195215,3706990.1454242854,0,1
193,366551.6847235125,3707042.6417961414,0,1
194,366425.75042595324,3707032.6407458084,0,1
195,366433.8622211971,3706974.935959481,0,1
196,366389.30546830187,3707028.509879251,0,1
197,366422.9195317469,3707059.0307427626,0,1
198,366506.10937222996,3707041.453815617,0,1
199,366487.39960670023,3707045.128695245,0,1
200,366511.1631735477,3706988.3496004995,0,1
201,366312.6507633968,3707042.936259739,0,1
202,366265.8483008803,3707033.005005945,0,1
203,366302.75789537455,3707105.4902103404,0,1
204,366319.69888383197,3707023.8406879236,0,1
205,365880.60953512276,3707051.830446435,0,1
206,365870.74533248757,3707059.464780567,0,1
207,365893.77915743284,3707086.770653073,0,1
208,366480.96641743206,3707103.2870739843,0,1
