#number,Coord_x,Coord_y,evacuation,reward
0,362883.141895,3705486.399016,0,1
1,362310.640343,3705215.768452,0,1
2,362263.108681,3706463.384817,0,1
3,363713.948178,3705831.619836,0,1
4,362079.511721,3705098.448159,0,1
5,362690.371414,3705504.733972,0,1
6,362657.087649,3705604.091260,0,1
7,363141.077679,3705597.240959,0,1
8,363298.093820,3705664.158762,0,1
9,363437.019920,3705723.998703,0,1
10,363561.786143,3705777.630501,0,1
11,362606.888031,3705754.185002,0,1
12,363473.543606,3705869.139234,0,1
13,363504.983314,3705961.766062,0,1
14,361990.069876,3706102.234739,0,1
15,362604.601593,3705754.494830,0,1
16,361137.535267,3704469.677230,0,1
17,361226.898097,3704544.174161,0,1
18,360953.288781,3704353.260793,0,1
19,361953.828597,3705891.992817,0,1
20,361948.269392,3705912.002208,0,1
21,362117.600329,3705689.997511,0,1
22,361990.259136,3705645.160187,0,1
23,361932.334457,3705286.209673,0,1
24,362286.110982,3705861.801599,0,1
25,362206.565461,3705792.623109,0,1
26,362426.113410,3705917.630286,0,1
27,361969.763753,3706017.776351,0,1
28,362415.416108,3705481.634465,0,1
29,361964.418389,3705929.981899,0,1
30,361916.885187,3705952.876701,0,1
31,362252.148163,3705431.239483,0,1
32,362727.017372,3705403.865053,0,1
33,362723.957074,3705412.825409,0,1
34,362883.766242,3705484.227484,0,1
35,362311.923739,3705214.197456,0,1
36,362380.235569,3706451.975268,0,1
37,362392.581368,3706408.678862,0,1
38,362540.139165,3706470.988865,0,1
39,362353.930386,3706455.433840,0,1
40,362363.588395,3706591.067167,0,1
41,362261.644773,3706464.015706,0,1
42,362265.289388,3706527.912101,0,1
43,362189.994905,3706504.200179,0,1
44,362588.311512,3706475.437351,0,1
45,362559.398367,3706580.200720,0,1
46,362899.830091,3706498.663897,0,1
47,362945.287686,3706554.058466,0,1
48,362859.660570,3706477.974372,0,1
49,362943.047361,3706523.923947,0,1
50,363037.394323,3706646.121476,0,1
51,363714.445054,3705829.294898,0,1
52,363893.248573,3705901.021435,0,1
53,363647.237846,3705807.775218,0,1
54,363887.541828,3705906.902293,0,1
55,362418.371599,3706780.799861,0,1
56,362463.958661,3706757.846394,0,1
57,362479.024501,3706895.520991,0,1
58,362254.121865,3706864.438754,0,1
59,362363.924490,3706616.570760,0,1
60,361392.552111,3704682.866337,0,1
61,361358.626671,3704788.315350,0,1
62,361032.510680,3704393.998052,0,1
63,361392.142994,3704689.326957,0,1
64,362080.117019,3705096.254660,0,1
65,361723.061672,3705200.636924,0,1
66,361395.413193,3704748.759007,0,1
67,362058.175364,3705165.951075,1,1000
68,362009.649715,3705282.852230,0,1
69,362285.724873,3705246.179518,1,1000
70,362688.601118,3705503.439389,0,1
71,362029.719194,3705287.012554,0,1
72,362269.872617,3705375.977121,0,1
73,362528.590808,3705459.758704,0,1
74,362654.812247,3705603.546943,0,1
75,363141.661599,3705595.164289,0,1
76,362817.006456,3705621.945324,0,1
77,363298.866038,3705662.251338,0,1
78,362642.410952,3705655.516476,0,1
79,362855.453702,3705623.871887,0,1
80,362901.273944,3705637.793622,0,1
81,362804.961518,3705708.833731,0,1
82,362623.640310,3705712.467676,0,1
83,363437.936650,3705722.122517,0,1
84,362813.326273,3705711.487417,0,1
85,363103.926497,3705729.873126,0,1
86,363048.561399,3705708.012035,0,1
87,363253.349488,3705787.055026,0,1
88,363081.886234,3705813.309597,1,1000
89,363562.426281,3705775.580791,0,1
90,362608.548849,3705755.625305,0,1
91,363177.978614,3705834.160585,0,1
92,362946.184050,3705764.286569,0,1
93,362966.059919,3705770.625276,0,1
94,362937.709537,3705806.883813,0,1
95,362863.735207,3705717.425045,0,1
96,362997.367685,3705688.687200,0,1
97,363009.881046,3705692.912451,0,1
98,362947.252830,3705662.892596,0,1
99,363218.098159,3705842.020455,0,1
100,363343.314606,3705820.837355,0,1
101,362066.353253,3705917.987717,0,1
102,363094.812111,3705836.793384,0,1
103,362584.060555,3705828.051767,0,1
104,362541.575544,3705961.422417,0,1
105,362586.744697,3705820.105949,0,1
106,362680.234335,3705861.063046,0,1
107,363163.419134,3705823.254369,0,1
108,363199.006171,3705832.609136,0,1
109,363198.912115,3705871.194481,0,1
