#number,Node1,Node2,Length,Width
0,0,1,109,3
1,0,2,679,3
2,1,36,613,3
3,1,10,441,3
4,2,36,54,3
5,2,3,616,3
6,3,4,64,3
7,3,69,105,3
8,4,7,27,3
9,4,8,21,3
10,5,6,17,3
11,6,7,29,3
12,6,68,38,3
13,7,8,11,3
14,8,68,25,3
15,8,69,32,3
16,9,10,513,3
17,9,11,380,3
18,9,12,96,3
19,10,43,53,3
20,11,32,28,3
21,11,38,66,3
22,12,17,4,3
23,12,18,227,3
24,12,19,192,3
25,13,14,263,3
26,13,15,93,3
27,13,16,343,3
28,14,60,288,3
29,14,22,180,3
30,14,45,245,3
31,15,80,76,3
32,15,20,81,3
33,16,19,13,3
34,16,30,160,3
35,17,81,89,3
36,17,62,334,3
37,17,19,196,3
38,18,38,176,3
39,18,56,202,3
40,19,45,372,3
41,20,21,211,3
42,20,22,109,3
43,21,74,146,3
44,21,76,195,3
45,22,67,169,3
46,23,24,72,3
47,23,25,243,3
48,23,26,20,3
49,24,27,86,3
50,24,37,658,3
51,25,29,63,3
52,25,33,77,3
53,26,31,166,3
54,26,32,352,3
55,27,28,138,3
56,27,29,295,3
57,28,68,40,3
58,28,69,36,3
59,30,62,34,3
60,30,63,225,3
61,31,34,29,3
62,31,35,198,3
63,32,37,164,3
64,34,70,26,3
65,34,47,66,3
66,36,37,359,3
67,38,46,155,3
68,39,40,18,3
69,39,41,60,3
70,39,42,69,3
71,40,49,84,3
72,40,57,112,3
73,41,56,52,3
74,41,46,101,3
75,42,60,11,3
76,42,72,88,3
77,43,44,335,3
78,43,44,130,3
79,44,61,163,3
80,45,58,40,3
81,46,49,15,3
82,47,48,7,3
83,47,49,94,3
84,48,50,52,3
85,48,70,73,3
86,50,51,63,3
87,50,52,66,3
88,51,53,19,3
89,51,52,129,3
90,52,70,28,3
91,53,54,65,3
92,53,55,73,3
93,54,57,132,3
94,54,71,73,3
95,56,58,68,3
96,57,59,165,3
97,58,60,75,3
98,61,64,79,3
99,61,62,45,3
100,63,65,6,3
101,63,66,56,3
102,64,66,98,3
103,64,73,104,3
104,66,84,125,3
105,74,75,143,3
106,75,76,179,3
107,76,77,24,3
108,77,78,246,3
109,77,79,105,3
110,78,82,38,3
111,82,83,267,3
