,0,1
0,253212041,"{'y': np.float64(3710936.7827186654), 'x': np.float64(368559.9587042449), 'highway': 'crossing', 'street_count': np.int64(4), 'lon': np.float64(133.584491), 'lat': np.float64(33.5299506)}"
1,305548214,"{'y': np.float64(3710950.008912227), 'x': np.float64(368553.79541422974), 'highway': 'traffic_signals', 'street_count': np.int64(4), 'lon': np.float64(133.5844227), 'lat': np.float64(33.5300691)}"
2,294071744,"{'y': np.float64(3710940.9340809863), 'x': np.float64(368570.2602265647), 'highway': 'crossing', 'street_count': np.int64(4), 'lon': np.float64(133.5846013), 'lat': np.float64(33.5299893)}"
3,1924070917,"{'y': np.float64(3710933.7043219), 'x': np.float64(368552.30037512374), 'street_count': np.int64(3), 'lon': np.float64(133.584409), 'lat': np.float64(33.5299219)}"
4,253768909,"{'y': np.float64(3710415.2937107566), 'x': np.float64(370540.60757127474), 'highway': 'traffic_signals', 'street_count': np.int64(3), 'lon': np.float64(133.605891), 'lat': np.float64(33.5254903)}"
5,304690631,"{'y': np.float64(3710419.156576521), 'x': np.float64(370553.5520263403), 'highway': 'crossing', 'street_count': np.int64(4), 'lon': np.float64(133.6060298), 'lat': np.float64(33.5255267)}"
6,1085590195,"{'y': np.float64(3710424.5639170837), 'x': np.float64(370538.2242630267), 'highway': 'crossing', 'street_count': np.int64(4), 'lon': np.float64(133.605864), 'lat': np.float64(33.5255736)}"
7,307976707,"{'y': np.float64(3710391.726971235), 'x': np.float64(370500.1826448863), 'highway': 'traffic_signals', 'street_count': np.int64(3), 'lon': np.float64(133.6054592), 'lat': np.float64(33.5252729)}"
8,253768914,"{'y': np.float64(3710824.719469532), 'x': np.float64(372631.74915185414), 'highway': 'traffic_signals', 'street_count': np.int64(3), 'lon': np.float64(133.6283459), 'lat': np.float64(33.5294335)}"
9,1556516840,"{'y': np.float64(3710773.054400311), 'x': np.float64(372436.2289776887), 'street_count': np.int64(4), 'lon': np.float64(133.6262482), 'lat': np.float64(33.5289443)}"
10,1556516975,"{'y': np.float64(3710891.045557885), 'x': np.float64(372636.24871444766), 'street_count': np.int64(3), 'lon': np.float64(133.6283849), 'lat': np.float64(33.5300321)}"
11,394709191,"{'y': np.float64(3710881.5333125857), 'x': np.float64(372869.3353348897), 'street_count': np.int64(4), 'lon': np.float64(133.6308958), 'lat': np.float64(33.5299741)}"
12,262314795,"{'y': np.float64(3708368.2868078165), 'x': np.float64(367233.5976444917), 'street_count': np.int64(4), 'lon': np.float64(133.570592), 'lat': np.float64(33.5066269)}"
13,564443386,"{'y': np.float64(3708380.509870229), 'x': np.float64(367243.9579345372), 'street_count': np.int64(3), 'lon': np.float64(133.5707017), 'lat': np.float64(33.5067384)}"
14,6286517222,"{'y': np.float64(3708364.6455418104), 'x': np.float64(367237.886258836), 'street_count': np.int64(3), 'lon': np.float64(133.5706387), 'lat': np.float64(33.5065946)}"
15,6286517221,"{'y': np.float64(3708372.4240213004), 'x': np.float64(367228.73054946493), 'street_count': np.int64(3), 'lon': np.float64(133.570539), 'lat': np.float64(33.5066636)}"
16,5521726739,"{'y': np.float64(3708314.983472723), 'x': np.float64(367204.83310818975), 'street_count': np.int64(3), 'lon': np.float64(133.5702903), 'lat': np.float64(33.5061427)}"
17,262314797,"{'y': np.float64(3708451.6660473137), 'x': np.float64(367375.2393466387), 'street_count': np.int64(3), 'lon': np.float64(133.5721042), 'lat': np.float64(33.5073963)}"
18,6286519489,"{'y': np.float64(3708453.818707136), 'x': np.float64(367371.9336289367), 'street_count': np.int64(4), 'lon': np.float64(133.5720683), 'lat': np.float64(33.5074153)}"
19,1085590625,"{'y': np.float64(3708464.080999528), 'x': np.float64(367397.45684784), 'street_count': np.int64(3), 'lon': np.float64(133.5723415), 'lat': np.float64(33.507511)}"
20,411228968,"{'y': np.float64(3708411.8425181457), 'x': np.float64(367279.22029402026), 'highway': 'crossing', 'street_count': np.int64(4), 'lon': np.float64(133.5710766), 'lat': np.float64(33.5070253)}"
21,262314806,"{'y': np.float64(3709356.939797722), 'x': np.float64(368638.1796251816), 'street_count': np.int64(3), 'lon': np.float64(133.5855651), 'lat': np.float64(33.515715)}"
22,1442211085,"{'y': np.float64(3709468.913276655), 'x': np.float64(368593.8528508565), 'street_count': np.int64(4), 'lon': np.float64(133.5850715), 'lat': np.float64(33.5167192)}"
