#number,Coord_x,Coord_y,evacuation,reward
0,526533.1108533128,4254096.328888247,0,1
1,526531.8800151877,4254088.457631121,0,1
2,526508.1427625108,4253944.728143291,0,1
3,526501.5594760083,4253948.112982299,0,1
4,526519.7453480982,4253938.474846171,0,1
5,526511.3235770497,4253967.397036149,0,1
6,526507.5436073428,4253935.849220758,0,1
7,526213.9898634907,4254093.285326951,0,1
8,526208.3680969912,4254096.296267673,0,1
9,526312.9384452552,4254044.69639389,0,1
10,526196.2703476846,4254061.781018348,0,1
11,526198.9804919304,4254060.391725114,0,1
12,526149.6989381799,4254085.896848573,0,1
13,526238.8073963722,4253165.9033894995,0,1
14,526176.6135983358,4253168.9741977565,0,1
15,526241.9341750464,4253200.123075742,0,1
16,526140.2051578821,4253171.885094483,0,1
17,526179.1305734629,4253202.903373415,0,1
18,525975.1650007721,4253189.759184484,0,1
19,525976.5817800097,4253210.546877892,0,1
20,526048.75792758,4253167.92680765,0,1
21,525898.9325347097,4253172.114675158,0,1
22,526057.4633559546,4253245.217607957,0,1
23,525921.2561816706,4253222.296841152,0,1
24,526860.8455299746,4253283.877540431,0,1
25,526811.289739684,4253300.556262215,0,1
26,526944.2211964036,4253174.537154124,0,1
27,526872.0811231182,4253327.767153806,0,1
28,526885.1967103656,4253422.860845221,0,1
29,526897.0764607886,4253417.563286014,0,1
30,526896.4078777019,4253445.2349270005,0,1
31,526872.4121463026,4253377.623394178,0,1
32,526947.217580269,4253530.878831489,0,1
33,526960.2571478923,4253525.862654869,0,1
34,526922.7503523488,4253494.823097194,0,1
35,526974.6556112964,4253573.735468637,0,1
36,526909.8276569926,4253545.789019041,0,1
37,526979.4987918097,4253516.783898301,0,1
38,526994.6859978561,4253509.045317815,0,1
39,526828.5917637391,4253580.093432584,0,1
40,526829.8948942134,4253581.928648229,0,1
41,526799.338232508,4253602.521189716,0,1
42,526870.0793162659,4253561.268504315,0,1
43,526815.4878264132,4253562.57325994,0,1
44,526799.9431458957,4253604.342978679,0,1
45,526784.2437935752,4253613.966570846,0,1
46,526976.9759618117,4253774.584221144,0,1
47,526995.4825163041,4253799.7236845335,0,1
48,526969.0768135147,4253764.227186718,0,1
49,527122.5158651302,4253938.165379778,0,1
50,527094.4248845412,4254024.99829721,0,1
51,527079.1352862846,4253910.434107765,0,1
52,527155.6500675392,4254025.215836849,0,1
53,527087.7326863313,4253765.169533512,0,1
54,527068.1169880785,4254155.323308219,0,1
55,527052.4753421139,4254223.268179839,0,1
56,527084.4189054273,4254075.396804708,0,1
57,526960.0036995657,4254130.204631137,0,1
58,526567.981497483,4254087.433874802,0,1
59,526573.0615610606,4254087.284211462,0,1
60,526569.0910558141,4254126.729144412,0,1
61,526567.8872095601,4254084.271149662,0,1
62,526153.3817315791,4254196.06064617,0,1
63,526138.8317502679,4254182.930950958,0,1
64,526192.5262496897,4254230.608380772,0,1
65,526183.0310008918,4254182.220289101,0,1
66,526477.0976470609,4254090.529660242,0,1
67,526470.9001888421,4254090.753380457,0,1
68,526492.3644475979,4254089.947441137,0,1
69,526482.2472587925,4254103.7177861575,0,1
70,525735.3904014467,4254402.654966135,0,1
71,525730.2811405155,4254406.544477466,0,1
72,525770.5312618447,4254374.094935959,0,1
73,525732.6353819584,4254393.58056935,0,1
74,525652.7057588062,4253978.760888919,0,1
75,525667.1212756741,4253998.835468605,0,1
76,525622.383603331,4253935.37807439,0,1
77,525625.1862796391,4254000.821149128,0,1
78,526516.5172037926,4254089.039458803,0,1
79,526529.987461736,4254077.455066951,0,1
80,526108.0188592043,4254146.579650296,0,1
81,526087.7130027374,4254156.256221347,0,1
82,525871.3137799397,4254296.090492054,0,1
83,525815.3008284944,4254339.463053717,0,1
84,525927.5434491611,4254253.362595515,0,1
85,525895.5736250083,4254370.135724828,0,1
86,525686.9630105617,4254027.870918873,0,1
87,525708.1636383267,4254054.9578358205,0,1
88,525590.4520020161,4254120.715733872,0,1
89,526060.3381202427,4254168.517542228,0,1
90,526027.3525464255,4254166.946051186,0,1
91,526032.5099542892,4254180.633238465,0,1
92,526177.569620354,4254776.869568982,0,1
93,526180.6838122654,4254747.796577163,0,1
94,526198.3946372744,4254778.834828484,0,1
95,526150.1489402752,4254774.2948168125,0,1
96,526174.0126643872,4254810.601524612,0,1
97,526395.3051205204,4254115.848671178,0,1
98,526422.763769894,4254102.212833292,0,1
99,526353.1219466614,4254023.201467323,0,1
100,526186.7165631695,4254189.500287932,0,1
101,525746.6676126609,4254094.10623901,0,1
102,525742.4135922593,4254089.776211041,0,1
103,525753.2443855363,4254100.796095096,0,1
104,525668.3059433622,4254160.943313609,0,1
105,526412.1146935711,4253993.59058487,0,1
106,527030.6377985162,4254864.9879902275,0,1
107,527044.6410795193,4254878.994097387,0,1
108,527140.5164601993,4254855.327075601,0,1
109,527138.5363518518,4254844.712418301,0,1
110,527154.0267591309,4254966.1794299325,0,1
111,527161.5844142883,4254849.839000608,0,1
112,527177.385408383,4254845.720206492,0,1
113,527197.8843444772,4254838.188600935,0,1
114,527200.7271148298,4254846.586949208,0,1
